Species,Scientific Family
Collared Dove,Columbidae
Turtle Dove,Columbidae
Tawny Owl,Strigidae
Starling,Sturnidae
Blackcap,Sylviidae
Garden Warbler,Sylviidae
Little Grebe,Podicipedidae
Shelduck,Anatidae
Capercaillie,Phasianidae
Sandwich Tern,Laridae
Spotted Redshank,Scolopacidae
Wood Sandpiper,Scolopacidae
Greenshank,Scolopacidae
Green Sandpiper,Scolopacidae
Redshank,Scolopacidae
Wren,Troglodytidae
Blackbird,Turdidae
Song Thrush,Turdidae
Fieldfare,Turdidae
Ring Ouzel,Turdidae
Mistle Thrush,Turdidae
Barn Owl,Tytonidae
Hoopoe,Upupidae
Guillemot,Alcidae
Lapwing,Charadriidae
